UniqueCount	AmbigCount
3	0
2	0
0	0
0	7
2	11
1	11
0	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
2	0
0	0
2	0
0	0
2	0
1	0
0	0
0	0
0	0
3	0
0	0
1	0
1	0
0	0
1	0
0	0
0	0
1	0
0	0
9	0
0	0
1	0
0	0
0	1
1	1
1	2
0	2
0	0
4	0
1	0
1	0
0	0
4	0
0	0
0	0
1	0
0	0
0	0
0	0
0	1
2	1
1	0
1	0
0	1
3	1
1	0
0	0
0	0
1	0
2	0
0	0
0	0
0	0
0	2
1	2
6	0
0	0
1	0
0	4
0	4
0	0
0	0
0	0
1	0
0	0
1	0
1	1
0	1
3	1
0	1
0	0
0	0
0	0
3	0
0	0
3	0
20	0
6	0
0	0
0	0
2	0
0	0
0	0
1	0
4	0
0	0
1	0
0	0
1	0
0	0
1	0
3	0
0	0
1	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
1	0
0	0
0	0
0	0
0	0
4	0
0	0
2	0
0	0
0	0
3	0
1	0
0	0
1	0
2	0
1	0
2	0
0	0
0	0
0	0
5	0
1	0
0	0
0	0
2	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
1	0
0	0
2	0
0	0
1	0
0	0
0	0
1	0
3	0
0	0
2	0
1	0
3	0
0	0
1	0
0	0
0	0
0	0
0	0
2	0
2	0
1	0
0	0
0	0
1	0
12	0
0	0
4	0
0	0
3	0
0	0
0	0
8	0
2	0
1	1
1	1
4	0
2	0
1	1
0	0
0	0
0	0
0	0
1	0
1	0
1	0
0	0
4	2
1	2
4	0
0	0
0	0
1	0
0	0
6	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
1	0
0	0
0	0
0	0
1	0
4	0
0	0
0	0
4	0
0	0
0	2
4	2
2	0
2	0
2	0
0	0
0	0
0	0
5	0
4	0
1	0
0	0
2	0
0	0
2	0
0	0
1	0
0	0
2	0
2	0
1	0
5	0
1	0
1	0
6	0
1	0
1	0
1	0
0	0
0	0
0	0
0	0
7	0
0	0
0	0
2	0
1	0
0	0
1	1
0	2
0	3
2	0
0	0
0	0
0	0
3	1
0	0
6	1
0	0
0	1
7	0
0	0
1	0
0	7
3	7
17	116
2	116
1	143
2	160
0	147
6	195
19	0
18	106
0	106
21	0
0	97
22	97
0	85
58	0
30	0
27	129
0	129
0	60
9	60
1	45
0	3
45	0
6	32
2	32
32	0
37	92
1	43
1	92
0	0
0	0
0	0
3	0
0	36
2	1
3	3
1	2
3	33
4	30
1	34
0	21
0	0
0	0
7	768
8	694
20	694
2	644
0	0
82	0
4	0
4	0
0	0
3	50
0	50
0	4
0	0
0	0
0	0
5	0
1	38
0	17
0	33
3	3
0	3
0	9
2	24
0	11
0	14
2	16
6	14
0	0
0	9
0	8
0	8
0	9
5	0
0	0
0	0
108	0
1	12
0	5
1	2
0	6
0	6
0	11
6	2
2	53
0	53
12	0
0	36
0	29
1	56
6	0
2	0
4	0
11	0
2	5
2	5
0	14
0	13
0	15
0	0
1	0
0	1
13	1
0	0
0	0
5	0
2	0
3	0
0	0
136	0
2	0
14	0
0	6
0	5
0	6
6	0
4	0
42	0
0	16
2	17
0	4
3	0
0	4
0	18
1	5
0	6
0	11
0	7
0	10
0	118
4	163
4	95
3	163
7	0
0	69
41	69
6	10
5	10
1	58
0	18
3	14
1	4
5	0
3	80
3	10
8	80
19	13
2	67
0	20
0	13
0	57
6	38
11	57
1	1
0	1
7	17
1	16
0	2
1	2
18	0
0	0
0	97
3	113
0	101
1	15
0	29
0	18
0	29
0	22
2	0
6	43
6	43
0	43
19	0
18	3
0	7
0	44
2	39
1	45
1	0
0	11
0	11
0	0
0	1
1	0
3	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	48
2	7
0	17
0	72
0	50
1	48
0	72
0	1
4	14
0	7
0	14
0	5
0	5
0	29
1	11
11	29
0	45
0	21
0	27
0	12
0	0
5	0
47	0
19	42
1	42
4	3
0	3
0	11
8	11
2	82
0	36
0	55
3	20
0	57
0	0
52	63
9	63
7	2
1	2
0	4
6	4
0	1
1	0
3	11
0	10
0	3
0	11
0	25
0	24
0	4
0	3
1	13
0	1
0	14
31	0
2	0
15	20
0	20
0	8
0	8
6	0
0	0
0	0
4	0
1	0
2	36
0	36
19	0
2	54
6	62
0	68
0	29
0	14
1	15
1	15
0	10
3	0
0	0
1	2
0	107
0	123
0	202
4	177
0	180
0	0
0	1
2	4
4	1
0	0
0	3
2	4
17	0
11	0
62	0
0	20
0	28
1	20
0	22
2	132
0	116
0	118
3	132
6	79
0	9
0	124
0	131
0	133
0	145
0	10
0	143
0	0
0	126
0	111
2	120
1	0
105	0
20	0
2	0
5	0
3	11
0	18
0	15
0	14
0	17
0	0
9	0
3	4
1	4
3	1
0	0
4	0
0	0
57	0
6	59
2	59
0	5
1	5
5	31
2	31
0	12
7	26
0	25
0	24
0	1
0	5
0	9
2	9
0	9
0	0
0	0
0	87
0	87
1	51
0	2
2	74
14	0
7	0
1	0
5	22
3	26
0	0
0	2
0	26
0	27
0	3
2	2
0	2
1	2
1	0
0	60
8	25
4	56
1	125
224	125
0	43
2	37
0	4
0	0
1	42
0	27
0	38
0	0
4	20
3	10
0	20
8	179
9	216
11	569
0	288
1	590
1	293
7	476
14	126
1	59
110	351
2	24
4	22
1	22
1	26
4	24
2	0
0	0
3	0
0	2
1	2
408	513
2	513
0	0
0	0
26	0
1	0
2	12
14	12
35	0
20	0
1	0
2	15
0	15
0	15
2	15
15	0
9	0
40	0
0	33
10	33
25	0
30	0
85	0
1	20
52	112
2	55
5	57
0	0
21	0
1	5
45	5
0	0
0	4
0	1
0	19
0	10
2	23
0	5
4	0
0	4
3	13
0	11
2	4
1	4
0	2
2	2
1	13
0	11
0	1
5	11
11	0
13	0
6	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
2	0
1	0
0	0
0	0
4	0
0	0
0	0
2	0
0	0
0	0
0	2
1	2
0	0
0	0
1	0
10	0
4	0
0	0
2	0
0	1
1	0
0	0
0	0
0	0
2	0
0	0
2	0
1	0
2	0
0	0
0	0
0	0
4	0
2	0
0	0
0	0
1	0
4	0
0	0
0	0
0	0
2	0
8	0
5	0
0	0
1	0
2	0
0	0
3	0
6	0
1	0
1	0
0	2
8	2
0	0
0	0
2	0
1	0
1	0
2	0
0	0
2	0
0	0
0	1
1	1
0	0
1	0
0	0
0	0
0	0
0	0
5	0
0	0
1	0
0	0
0	0
0	0
0	0
1	0
1	0
5	0
0	0
0	0
0	0
1	0
2	0
3	0
0	0
0	0
0	0
0	0
2	0
4	0
1	0
0	0
2	0
0	0
1	0
0	0
0	0
0	0
5	0
1	0
0	0
1	0
0	0
3	0
0	0
0	0
0	0
0	1
0	1
0	0
1	0
0	0
0	0
0	0
0	0
0	0
9	0
0	0
0	0
3	0
0	0
2	0
0	0
0	0
0	0
11	0
6	0
2	0
2	0
0	0
1	0
3	0
13	0
13	0
3	0
0	0
3	0
3	0
22	0
5	0
1	0
0	0
0	0
1	0
13	0
0	0
0	0
0	0
10	0
0	0
3	0
8	0
1	0
3	0
0	0
6	1
2	0
0	0
0	0
0	0
1	0
4	0
0	0
0	0
0	0
5	0
1	0
0	0
11	0
0	0
1	0
27	1
0	0
1	0
0	0
0	0
2	0
9	0
21	0
0	0
2	0
1	0
0	0
1	0
1	0
0	0
0	0
3	0
17	0
2	0
2	1
0	0
0	0
0	0
1	1
1	0
1	0
1	0
3	0
2	0
0	0
0	0
1	0
0	0
3	0
7	0
0	0
0	0
1	0
0	0
1	0
2	0
0	0
1	2
0	2
0	0
6	0
6	3
2	3
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
12	1
0	0
0	0
0	0
0	0
10	0
0	0
1	1
1	1
0	0
0	0
0	0
1	0
0	0
0	0
0	0
5	0
14	0
0	0
0	0
2	0
2	0
0	0
2	0
0	0
0	0
0	0
1	0
0	0
0	0
1	0
0	0
1	0
1	0
1	0
3	0
0	0
0	0
0	0
1	0
2	0
4	0
1	0
0	1
1	0
0	0
0	0
1	0
1	0
0	0
4	0
0	0
0	0
2	0
1	0
0	0
0	3
0	3
0	0
0	0
0	0
3	0
5	0
3	1
0	0
4	0
1	0
0	0
1	0
0	0
1	0
0	0
1	0
2	0
1	0
3	0
0	0
1	0
1	0
3	0
0	0
0	0
4	0
0	0
0	0
1	3
1	0
